# Marker-text audit: every numbered "Deciphering the Icon" marker read against the picture
# under its own circle, at full size, with crops where the detail is small.
#
# WHY THIS FILE EXISTS. The reading audit (icon_reading_audit.tsv) finished 2026-09-21 and
# examined MARKER TEXT on only the 48 icons it touched that day; roughly one marker in three
# on those was wrong. The other 65 icons — the rows marked checked-2026-08-21b and
# checked-2026-08-22 there — had their PROSE read against the picture and their MARKER TEXTS
# never examined by anyone. This file is that sweep. 65 icons, 347 markers.
#
# A ROW HERE MEANS NOTHING UNLESS hotspots.js / hotspots3.js SAYS WHAT THE NOTE SAYS. The
# reading audit's 28 fixed-2026-08-22 rows recorded corrections that were never applied to
# the source, and the reader shipped the wrong text for a month. Every `fixed` row below was
# written AFTER the edit landed and AFTER grepping the old wording out of the source.
#
# One row per MARKER, not per icon — per-icon rows are how 47 bad marker texts hid behind 65
# "checked" ones the first time.
#
# A FOURTH KIND OF ERROR, named 2026-09-21 at batch 10: the marker that makes NO CLAIM
# ABOUT THE PICTURE AT ALL - pure Scripture, a homily, or colour symbolism the painting does
# not carry. It can never be falsified, so it reads `holds` forever, and the tab it sits in is
# called Deciphering the Icon. From batch 10 such markers are given what is under their circle
# and their note begins NO PICTURE CLAIM. Batches 1-9 did not look for this kind.
#
# A row with `-` in the n column is not a marker: it records a READING (prose) finding or an
# open question against that icon. There are three; filter them out when counting markers.
#
# key	n	marker label	verdict	note   (verdict: holds | fixed-DATE)
1c6df2ef1f9b	1	The tempter's words	fixed-2026-09-21	right, and now quotes the mosaic as it is lettered: SI FILI DI ES DIC VT LAPIDES ISTI PANE FIA
1c6df2ef1f9b	2	Christ's answer	fixed-2026-09-21	the reply begins SCRIPTUM EST, which is the marker's own point about reading Scripture to the devil, and he holds a closed scroll while he says it — neither was in the text
1c6df2ef1f9b	3	The stones on the ground	holds	loose stones lie between them in the middle of the field
1c6df2ef1f9b	4	The devil as a winged figure	holds	dark, thin, black-winged with white outlines, hands out toward Christ
1c6df2ef1f9b	5	The wilderness	holds	bare rock across the bottom of the field
c4d2c9bb6006	1	Christ sending	fixed-2026-09-21	right, and now carries what the tier-b decision of 2026-09-20d rests on: the Greek line across the top is about an appearing (ΕΜΦΑΝΙCΑС … ΤΟΙС ΥΠ ΑΥΤ ΓΕΝΟΜΕΝΟΙС), not the words of Matthew 28
c4d2c9bb6006	2	The apostles on his right	fixed-2026-09-21	'indistinguishable in glory' is contradicted by the panel — four distinct faces, a red book and a white scroll among them
c4d2c9bb6006	3	The apostles on his left	fixed-2026-09-21	'turned outward, already leaving the frame' is false: every apostle on both sides faces inward toward Christ
305d7ea4cbf0	1	The Greek titulus	holds	Ο Χ͞С ΙΩΜΕΝΟС ΤΟΥС ΑСΘΕΝΟΥΝΤΑС ΑΠΟ ΠΟΙΚΙΛΩΝ ΝΟСΩΝ read across the top
305d7ea4cbf0	2	The hand of Christ	fixed-2026-09-21	the hand touches nobody — it stops short of the man reaching back, with bare wall between them; and a scroll is closed in his other hand
305d7ea4cbf0	3	The disciples behind him	holds	a close rank of heads at his shoulder
305d7ea4cbf0	4	The crutches and staffs	holds	long sticks held and leaned on through the right of the crowd
305d7ea4cbf0	5	Those sitting on the ground	fixed-2026-09-21	their legs are stretched OUT, not drawn under, and blotched with sores; two wear wide straw hats
2b3d17a3e3ad	1	The panel divided into compartments	holds	three registers of three, the nine scenes the tier-c note of 2026-09-20d counted
2b3d17a3e3ad	2	The inscribed bands	holds	the dark red bands do carry rows of pale Slavonic lettering, divided into one panel per scene
2b3d17a3e3ad	3	The crowds in the open country	fixed-2026-09-21	half the compartments are architecture — porticoes and interiors — so 'out of doors' described only part of the panel
2b3d17a3e3ad	4	A burial in the lowest register	fixed-2026-09-21	right, and the body wound in a white shroud beside the opened ground is the thing that makes it a burial; the marker had only the digging
2b3d17a3e3ad	5	The scale of the figures	holds	no figure in the panel is large
f53e17ad7406	1	The inscription	holds	POTES ME MUNDARE across the top
f53e17ad7406	2	The hand of Christ	fixed-2026-09-21	the touch is NOT painted: a hand's breadth of bare gold lies between Christ's hand and the leper. The icon's own prose reading said so and the marker contradicted it — 'the icon makes the touch the centre of the picture'
f53e17ad7406	3	The leper's body	holds	spotted from face to feet
f53e17ad7406	4	The staff and the distance	holds	he leans on a long stick, standing apart at the right
f53e17ad7406	5	The mountain behind them	holds	the dark scaled mass of the hill fills the upper left
f53e17ad7406	6	The disciples following	holds	a close group of heads behind his shoulder
0336507c47db	1	The Greek titulus	holds	Ο Χ͞С ΙΩΜΕΝΟС ΤΟΝ ΥΙΟΝ ΤΟΥ ΕΚΑΤΟΝΤΑΡΧȢ — the son, as the marker says
0336507c47db	2	The hand of Christ	fixed-2026-09-21	right, and better: a low painted wall stands between him and the centurion, which is the distance the miracle is worked across
0336507c47db	3	The centurion in armour	holds	scale corselet, gold bands, crested helmet
0336507c47db	4	His hands held out	holds	right hand up palm out, left hand out flat and open
0336507c47db	5	The boy on the bed	fixed-2026-09-21	he is NOT lying: upright behind a red coverlet, fair-haired in a green tunic, his face turned up toward Christ
e3ab29e84a86	1	The inscription	holds	IHS LIBERAT SOCRV SIMONIS A MAGNIS FEBRIBVS, in two lines across the top
e3ab29e84a86	2	The hand of Christ	fixed-2026-09-21	'reaching out and taking hold' is wrong — a band of bare gold lies between his hand and hers. This is the same mosaic the Mark gotcha of 2026-09-20 already recorded, and Matthew's marker had gone on saying the opposite
e3ab29e84a86	3	The woman rising	holds	already sitting up on the bed, turned to him
e3ab29e84a86	4	The bed	holds	the white coverlet fills the lower right
e3ab29e84a86	5	The house	holds	the arcaded front and the arched door behind them
e3ab29e84a86	6	The disciples in the doorway	fixed-2026-09-21	there is no doorway: five faces pressed into the left edge against a painted wall. Label changed to 'The disciples crowded at the edge'
1a57d2deda4b	1	The Slavonic inscription	fixed-2026-09-21	it can be read, and now is: Х͞Ъ ВЪ КОРАБИ ПОВЕЛѢВАЮТЬ ВѢТРȢ ДА ОУМЛЪЧИТЬ — Christ in the ship commands the wind to be still
1a57d2deda4b	2	Christ standing to rebuke the sea	fixed-2026-09-21	he stands at the LEFT END of the boat, not the middle, with his hand raised toward the waves rather than out over the water, and a scroll in the other hand
1a57d2deda4b	3	Christ asleep in the stern	fixed-2026-09-21	right, and the disciple leaning in with an outstretched arm to wake him was left out — it is the moment the marker's own Chrysostom quotation is about
1a57d2deda4b	4	The disciples at the ropes	holds	working the ropes and looking up at once
1a57d2deda4b	5	The sail and the mast	holds	the rigging crosses the whole upper half
1a57d2deda4b	6	The waves	holds	hard scrolling ridges, filling the bottom of the field
c5a887002f86	1	The Greek titulus	holds	Ο Χ͞С ΙΩΜΕΝΟС ΤΟΝ ΔΑΙΜΟΝΩΝΤΑ ΚΩΦΟΝ across the top
c5a887002f86	2	The hand of Christ at his face	fixed-2026-09-21	not 'head and mouth' and not two hands: one hand, with the fingers laid on his EAR — which is the point of κωφός, and the marker had missed its own argument. Label changed
c5a887002f86	3	The man himself	fixed-2026-09-21	'brought and held by others' is not in the picture — he stands alone on his feet, hand at his own breast
c5a887002f86	4	The man arguing at the right	holds	a man at the right with his hand up in argument
c5a887002f86	5	The disciples behind Christ	holds	close rank of heads at his shoulder
b6218c06f8f4	1	The Greek titulus	holds	Ο Χ͞С ΙΩΜΕΝΟС ΤΟΝ ΠΑΡΑΛΥΤΟΝ across the top
b6218c06f8f4	2	The word of Christ	holds	he speaks from where he stands, hand raised, and touches nobody in this fresco either
b6218c06f8f4	3	The man carrying his bed	holds	and it is a framed bedstead with turned posts, carried across the shoulders with both hands on the frame
b6218c06f8f4	4	What the miracle was for	holds	no claim about the picture to check; the verse is Matthew 9:6
b6218c06f8f4	5	The sick still lying	holds	figures still lying on their beds under the arcade at the right
b6218c06f8f4	6	The disciples	holds	close group behind his shoulder
b6218c06f8f4	-	(the Bethesda question)	untouched	this is the fresco whose five-bay arcade and round well-head make it John 5. Recorded in HANDOFF as the owner's call; no marker or reading was changed here, and none of the six markers asserts anything false about the architecture
809e4f434700	1	The plain gold halo	holds	plain gold, no cross, abraded along the top
809e4f434700	2	The pen	holds	the reed is in his right hand
809e4f434700	3	The book	fixed-2026-09-21	the codex is CLOSED, not open — gold tooled covers, red spine with raised bands, page-block showing. Nothing is written on it
809e4f434700	4	An old man's face	holds	white-bearded and old, not the publican at the toll booth
e74e957600c1	1	The inscription	fixed-2026-09-21	read at full crop: IHS FILIAM IAYRI PRINCIPIS SYNAGE IN DOMO EIVS SVSCITAT. The mosaic NAMES Jairus, and Matthew does not — he is 'a certain ruler' in this Gospel; the name is Mark's and Luke's. Now said
e74e957600c1	2	The hand of Christ	holds	and it is his LEFT hand, down at the edge of the bed, with her hand closed in it — the two hands really do meet in this mosaic
e74e957600c1	3	The girl	fixed-2026-09-21	'already lifting her head' is far short of it: she sits bolt upright with her arm stretched out and her hand in his
e74e957600c1	4	The crowd at the door	holds	mourners crowded at the right, and one of them holds a round timbrel — the minstrels are painted
e74e957600c1	5	The bed	holds	the heavy patterned coverlet fills the bottom of the mosaic
ae630c177c4b	1	The inscription	fixed-2026-09-21	verified and now quoted: Η СΥΝΑΞΙС ΤΩΝ ΔΩΔΕΚΑ ΑΠΟСΤΟΛΩΝ, with the names following in Matthew's order — ΠΕΤΡΟС ΑΝΔΡΕΟС ΙΑΚΩΒΟС ΙΩ ΦΙΛΙΠΠΟС ΒΑΡΘΟ ΘΩΜΑС ΜΑΤΘ …
ae630c177c4b	2	The chief apostles in front	fixed-2026-09-21	'Peter and Paul are set forward' cannot be supported — FOUR stand forward, no ΠΑΥΛΟΣ is legible in the name-band, and the Commons record says nothing of Paul. Label changed to 'The four set forward'
ae630c177c4b	3	The rank behind	fixed-2026-09-21	'each with the scroll or book of his preaching' is invisible: the eight behind are cut at the chin by the front rank and not one hand shows
0816dc776ae6	1	Twelve, ranked and standing	holds	counted at full crop: three rows of four
0816dc776ae6	2	The gold ground	holds	gold, no landscape, no building
0816dc776ae6	3	The front rank	fixed-2026-09-21	the lowest row has FOUR in it, not 'the two set lowest and largest'
0816dc776ae6	4	Scrolls and books in their hands	fixed-2026-09-21	'each carries' cannot be seen — but three of the four in the lowest row can: a gold-edged book, a pale scroll, a gilt book. NOTE FOR MARK: the 2026-09-20 gotcha says this panel has darkened so that nothing below the haloes can be made out; at full crop that is true of the upper two rows only, and Mark's reading may be over-corrected
12d1b6b5abd7	1	Ο ΩΝ in the halo	holds	Ο on the top arm, Ω on the left, Ν on the right, all three read at full crop
12d1b6b5abd7	2	ΙΣ ΧΣ	holds	ΙС at the left edge of the halo, ΧС at the right
12d1b6b5abd7	3	The hand of blessing	holds	two fingers extended, thumb to the ring finger
12d1b6b5abd7	4	The closed Gospel	holds	shut, gold and jewelled, held from below with the fingers across the cover
12d1b6b5abd7	5	The inscribed band	fixed-2026-09-21	right, and now carries the evidence: ΤΩΝ ΔΥΝΑΜΕΩΝ is legible along the bottom of the ring
0b83261a7926	1	The Greek titulus	holds	Ο Χ͞С ΙΩΜΕΝΟС ΤΟΝ ΞΗΡΑΝ ΕΧΟΝΤΑ ΤΗΝ ΧΕΙΡΑ across the top
0b83261a7926	2	Christ seated in the synagogue	holds	seated at the left, hand raised toward the man
0b83261a7926	3	The withered hand held out	holds	right arm stretched toward Christ, hand open, nothing touching it
0b83261a7926	4	The man standing in the middle	holds	upright in the centre of the field
0b83261a7926	5	The Pharisees seated	fixed-2026-09-21	'watch without moving' is not what they do — one has his hand up palm out, one leans forward talking to his neighbour with his hand thrown out
632d526875ab	1	The plural titulus	holds	Ο Χ͞С ΙΩΜΕΝΟС ΤΟΥС ΔΑΙΜΟΝΙΖΟΜΕΝΟΥС — plural confirmed at full crop
632d526875ab	2	The two men	fixed-2026-09-21	not naked — an ochre and a pink loincloth — and not both bowed: one is bent double, the other stands upright with both arms thrown up
632d526875ab	3	The devils coming out	holds	two small black winged shapes, one over each man
632d526875ab	4	The tomb	holds	an open rock-cut grave at the foot of the fresco
632d526875ab	5	The herdsmen on the hill	fixed-2026-09-21	they are looking out from behind the rocks in wide straw hats, not running, and no swine are painted
632d526875ab	6	The hand of Christ	holds	hand out, and he comes nowhere near them
74e4150f14a6	1	The Greek inscription	fixed-2026-09-21	read and now quoted: Η ΕΚ ΤΟΥ ΚΗΤΟΥΣ ΑΝΑΔΟΣΙΣ ΤΟΥ ΠΡΟΦΗΤΟΥ ΙΩΝΑ
74e4150f14a6	2	Jonah coming out of the mouth	holds	upright, haloed, hand raised, the fish's open jaw beside him
74e4150f14a6	3	The open scroll	fixed-2026-09-21	the scroll's own first words are legible and now quoted: ΕΒΟΗΣΑ ΕΝ ΘΛΙΨΕΙ ΜΟΥ ΠΡΟΣ ΚΝ ΘΝ ΜΟΥ
74e4150f14a6	4	The great fish	holds	it runs the whole width of the wall
74e4150f14a6	5	The sea	holds	water across the lower half
d3cd28ed2081	1	The Sower	fixed-2026-09-21	the sower is HALOED — he is painted as Christ — and the title above him is Romanian: 21. PILDA SEMĂNĂTORULUI. Neither was said
d3cd28ed2081	2	The birds on the wayside	holds	black birds on the beaten path at the left
d3cd28ed2081	3	The stony ground	fixed-2026-09-21	the stones are bare on the surface with seed lying on them, not 'just under a thin skin of earth'
d3cd28ed2081	4	The thorns and the good ground	fixed-2026-09-21	there is no good ground in the picture: the thistles run to the panel's border and no harvest is painted anywhere
18b841ec8665	1	The caption ΟΙΚΟΔΕΣΠΟΤΗΣ	fixed-2026-09-21	the red caption, cut short after ΟΙΚΟΔ, stands at ~42% over the standing man in grey who PAYS - not over the seated man at ~25%
18b841ec8665	2	The householder -> The man at the door	fixed-2026-09-21	by the painter's own caption the seated man is not the householder: no caption names him. 'does not go into the field' dropped. Relabelled
18b841ec8665	3	The steward paying out -> The householder paying out	fixed-2026-09-21	Matthew 20:8 gives the paying to the steward, but the painter wrote householder over the man who pays. He puts a gold coin into cupped hands and holds a looped cord. Relabelled
18b841ec8665	4	The queue of labourers	fixed-2026-09-21	five men, and the first is being paid, not waiting
18b841ec8665	5	The caption ΟΙ ΓΕΩΡΓΟΙ	fixed-2026-09-21	γεωργοί is husbandmen, the word of 21:33, not the ἐργάται of 20:1. And not 'five men bent over the vines with their hoes': one drives a long-handled tool into the ground with his foot, the rest cut with short curved blades, and two stand upright. A second red caption at the right is too abbreviated to read here
18b841ec8665	6	The vines	fixed-2026-09-21	NO PICTURE CLAIM - it was the Paschal homily and nothing else. Added what is there: bare leafless stocks, no grapes anywhere
d4f530364ab1	1	Christ the Judge	holds	seated, beardless, cross-nimbus, right hand held out open toward the sheep. THE READING WAS WRONG ABOUT THE OBJECT: image_meta.json dates it 'early 20th century (original dated early 6th century)', desc 'Reproductions-Mosaics' - a copy at the Metropolitan Museum, and the reader's own credit line already prints that date under a label saying 'Ravenna, 6th c.'. Reading fixed; the LABEL is left for the owner. The Commons page does not name the church - the Sant'Apollinare Nuovo identification rests on the composition
d4f530364ab1	2	The angel in red	fixed-2026-09-21	'robed in the colour of divine life' is symbolism the mosaic does not carry. Now what is there: winged, standing behind the sheep, right hand raised palm out before his breast
d4f530364ab1	3	The angel in blue	fixed-2026-09-21	'the colour of the created and the far side' likewise dropped. Same wings, same gesture as the red angel
d4f530364ab1	4	The sheep on the right	fixed-2026-09-21	NO PICTURE CLAIM - the text was Matthew 25:34 alone. Two white sheep, facing him, his open hand over the upper one's head
d4f530364ab1	5	The goats on the left	fixed-2026-09-21	NO PICTURE CLAIM. Only ONE goat is made out at full crop: grey, dark along the back, where the sheep are white
90bb6dd72243	1	The empty Cross	fixed-2026-09-21	no ladder leans against it - the ladder is on the shoulder of the man at the far right. Added the title-board, the stars and the city walls
90bb6dd72243	2	The Theotokos	fixed-2026-09-21	text right (cheek pressed to his, ΜΡ ΘΥ by her halo, now said), but the marker sat at 40% left on Christ's chest by the ΙΣ ΧΣ letters. Moved to her, 27%
90bb6dd72243	3	The stone of unction	fixed-2026-09-21	the body is NOT wrapped: bare but for a loincloth, on a white linen sheet over a red slab. Wounds in both feet confirmed by crop. 'anointed' dropped - no anointing is painted and Matthew reports none
90bb6dd72243	4	Joseph and Nicodemus	fixed-2026-09-21	they do not come together 'with the ladder and the linen': the haloed grey-bearded man bends over the feet holding the linen, the unhaloed dark-bearded one stands with the ladder, cheek in hand. The fresco letters neither. 'dared' is Mark 15:43, not Matthew; Nicodemus is John's
eeb8331bcc9e	1	The inscription	fixed-2026-09-21	the normalised Latin was given as if it were the letters. Now the letters as laid - IHS SVP MARE ABVLAT 7 PETRV ALLEVAT, the mast through ABVLAT, 7 for et - then the expansion
eeb8331bcc9e	2	Christ standing on the sea	holds	standing on the waves, feet on the water at the lower left
eeb8331bcc9e	3	The hand that catches him	fixed-2026-09-21	understated: his fingers close round Peter's wrist, and his other hand holds a rolled scroll that nothing named
eeb8331bcc9e	4	Peter in the water	fixed-2026-09-21	not 'in up to the chest': he is painted whole, down to his feet, knees giving way, the waves over his legs, left hand at his breast. The READING said 'half in the water' and is fixed with it - the reading-audit row said 'Peter chest-deep - reading holds'
eeb8331bcc9e	5	The boat	fixed-2026-09-21	'When the two came in, the wind ceased' was offered as Matthew's words and is not the KJV (14:32 And when they were come into the ship). Now quoted. Added what is painted: the nearest disciples lean over the side with their hands out toward him
0c81d57a20b0	1	The mandorla of uncreated light	fixed-2026-09-21	NO PICTURE CLAIM about this panel - 'often painted darkening toward the centre'. Here the almond is pale, the lightest thing on the board, with faint radiating lines. NOTE: the 2026-09-21b 'no mandorla' finding belongs to the OTHER Sinai panel (Icon of the Transfiguration from Saint Catherine's), not this one - checked
0c81d57a20b0	2	Moses and Elias	fixed-2026-09-21	understated - which is which was never said, and the marker sits on one of them. Elias left: old, white-bearded, dark mantle. Moses right: young, beardless, in white, a squared bound book at his side. The red letters above each are not legible at this size
0c81d57a20b0	3	The disciples cast down	fixed-2026-09-21	they are not flung down or falling: Peter sits turning back up with his hand raised, John kneels with his face in his sleeve, James sits looking aside. The READING's 'Orthodox iconography always paints them falling' was contradicted by its own picture and is rewritten
2f9b9ae9e6e4	1	Christ presiding	fixed-2026-09-21	not 'at the head' - the middle of the far side; not visibly larger; and the blessing hand is before his own breast, nowhere near the bread. Added ΙΣ ΧΣ and the title Ο ΔΕΙΠΝΟΣ Ο ΜΥΣΤΙΚΟΣ
2f9b9ae9e6e4	2	The beloved disciple	holds	beardless, eyes closed, leaning against Christ's side
2f9b9ae9e6e4	3	The common dish	fixed-2026-09-21	the dish holds a FISH, never said. The reaching arm checked at full crop: it belongs to the man in green with a red cloak lying forward over the table below John - not John - and his open hand stops short of the bowl. No name lettered
c73d837b2a2b	1	The inscription	fixed-2026-09-21	this photograph holds only the tail of the Latin, …RIORV EVTIT ([nummula]riorum evertit); nothing about doves or oxen is legible. The READING claimed the same and is rewritten
c73d837b2a2b	2	Christ overturning the table	fixed-2026-09-21	'across the whole mosaic' overstated. The gold-sleeved arm raised behind his head holds a short rod, no cords visible, and at full crop cannot be assigned between Christ and the young man beside his halo. The READING's 'scourge of cords raised in his right hand' is John 2:15 and unsupported - rewritten
c73d837b2a2b	3	The scattered coins	fixed-2026-09-21	not 'strewn over the cloth': a heap on the table top beside a gold cup, and two bunches of coins pouring over the front edge
c73d837b2a2b	4	The cage of doves	fixed-2026-09-21	Matthew names the dove-sellers' seats SECOND, after the moneychangers' tables - not first. White birds visible through the bars, confirmed by crop
c73d837b2a2b	5	The sellers drawing back	fixed-2026-09-21	not 'crowding away with their goods': three men recoil, the old hooded one with a hand thrown up and a bag, the nearer young one with his palm out
c73d837b2a2b	6	The oxen	fixed-2026-09-21	nobody pulls them: a brown ox, the head of another, and several grey rams with curling horns go off unled. Matthew names no beasts but doves - oxen and sheep are John 2:15. The READING's 'oxen and sheep' now says so
5f0302871958	1	The Theotokos in the vine	fixed-2026-09-21	'the tree grows to her and stops' is false: the branches go on past her to two prophets in the upper corners. Two winged angels holding a crown over her head were never named
5f0302871958	2	The Child in her lap	fixed-2026-09-21	NO PICTURE CLAIM - Matthew 1:16 and nothing else. Now: upright on her knee, green tunic under a gold-orange mantle, blessing, a small scroll, Ο ΩΝ in the halo
5f0302871958	3	David crowned, with the psaltery	holds	crowned, white-bearded, harp at his side, a written scroll across him
5f0302871958	4	A prophet's open scroll	fixed-2026-09-21	the scroll does carry Matthew's verse - read at full crop: ΙΔΟΥ Η ΠΑΡΘΕΝΟΣ ΕΝ ΓΑΣΤΡΙ ΕΞΕΙ Κ(ΑΙ) ΤΕΞΕΤΑΙ ΥΙΟΝ - but the English given was Isaiah 7:14's KJV (shall conceive, and shall bear), not Matthew 1:23's. Now Matthew's, with the Greek
5f0302871958	5	Jesse asleep at the root -> Jesse at the root	fixed-2026-09-21	he is NOT asleep: eyes open and turned up, head propped on one hand, the other lifted toward the trunk. The reading-audit row said 'Jesse asleep at the root' was confirmed. Relabelled
4f9aa3206d34	1	The Greek band across the top	holds	a dark band of Greek lettering in the sky, the end of it plausibly …ΕΝ ΤΗ ΑΙΓΥΠ…; not quoted, because the start will not resolve
4f9aa3206d34	2	The Theotokos	holds	red maphorion over blue, face turned out toward us, head inclined to the Child
4f9aa3206d34	3	The Child held against her	holds	swaddled in yellow, held upright at her breast
4f9aa3206d34	4	The ass	fixed-2026-09-21	'a borrowed beast' is invention - Matthew mentions no beast at all. Now: a pale beast in a bridle, its rein running forward to Joseph's hand
4f9aa3206d34	5	Joseph with the staff	fixed-2026-09-21	MISQUOTED: 'he arose, and took' is not the KJV (2:14 When he arose, he took … and departed into Egypt). Added the rein in his right hand and the staff in his left
892e33ad2d95	1	Herod enthroned	holds	crowned, nimbed, in a red-and-gold robe on a cushioned throne under a gabled canopy, his hand raised toward the guard
892e33ad2d95	2	The guard at his side	holds	young, in a patterned green tunic with a gold collar, a long gold-rimmed shield before him
892e33ad2d95	3	The soldier with the drawn sword	fixed-2026-09-21	he is not striding out 'with the blade already out': the sword is already driven through the child he holds up
892e33ad2d95	4	The child held up by the leg	fixed-2026-09-21	understated: by the ankles, haloed, run through, the blood falling in a thread to the ground
892e33ad2d95	5	The mother at the right	fixed-2026-09-21	she is not 'apart, bowed over what is left to her': a second soldier - named by no marker - is on her with his sword drawn, and her haloed child is alive on her knee; she looks up at him. And MISQUOTED: 'In Ramah' - Matthew 2:18 KJV has 'In Rama'
892e33ad2d95	6	The bodies on the ground	fixed-2026-09-21	not 'laid along the lower edge of the gold field': a tangled heap on the green ground, haloes among the limbs
a775939956b4	1	The wings	holds	two dark cross-hatched wings, one either side
a775939956b4	2	The face and the hair	holds	hair wild and spiked, beard untrimmed
a775939956b4	3	The camel-hair garment	holds	the shaggy brown coat shows under the green cloak on his right side
a775939956b4	4	The scroll	holds	red letters read at full crop: ΜΕΤΑΝΟΙΤΕ ΗΓΙΚΕΝ … ΟΥΡΑΝΩΝ, itacist spelling of Matthew 3:2 - agrees with the Luke session's reading of the same file
a775939956b4	5	His own head on the charger	fixed-2026-09-21	not 'at his feet': he holds the charger himself, gripped in his left hand at his waist, the head eyes-closed and haloed, the foot of the scroll coming down into it. The READING said 'beside him stands the dish' and is fixed with it
686af8bf09a5	1	The opened heaven	holds	a dark funnel at the top, fine gold rays inside it, narrowing to one ray
686af8bf09a5	2	The Spirit as a dove	fixed-2026-09-21	understated: the bird is tiny and has red Slavonic letters either side of it
686af8bf09a5	3	Christ standing in the water	holds	right hand out low over the water, fingers extended; the other hand covers his loins
686af8bf09a5	4	The Forerunner's hand on his head	fixed-2026-09-21	his other hand is NOT 'holding his own garment of hair': it is raised open before his breast. Green cloak over a grey hair garment
686af8bf09a5	5	The angels with veiled hands	fixed-2026-09-21	only the front angel's hands are visible, and they are wrapped in the white cloth, not hidden under cloaks; the two above show no hands at all
686af8bf09a5	6	The Jordan painted as a grave	fixed-2026-09-21	the water does not 'close round his body from the feet up': it runs black the whole height of the board and he stands in it whole, head to feet, against the dark
6e1639e806a6	1	The devil's words	holds	SI FILIVS DI ES / MITTE TE DEORSV at the right
6e1639e806a6	2	Christ's answer	holds	SRIPT E N TE / PTABI DNM / DEV TVV at the left. The READING spelled it TENTABIS; the wall has the P - corrected to TEMPTABIS
6e1639e806a6	3	Christ on the pinnacle	holds	upright on the roof tiles, scroll in his left hand
6e1639e806a6	4	The tempter beside him	fixed-2026-09-21	'painted small' is false here: he is as tall as Christ and his wings spread wider. Now: hanging in the air, naked, grey-green, ribbed, flame-like hair; Christ's hand held out against him
6e1639e806a6	5	The temple beneath his feet	holds	a small arcaded building. The READING called it domed: the roof is tiled and pitched - fixed
d4f530364ab1	-	(prose, hotspots.js)	fixed-2026-09-21	THE OBJECT: an early-20th-c. copy at the Metropolitan Museum, not the sixth-century mosaic the reading named (see row 1). And after the final review, the reading's 'divides the flock: the sheep on his right hand, the goats on his left' - one goat is painted, as marker 5 says; now 'two white sheep … one grey goat'
